id,copetin,golosinas,facturas,preelaborados,FC_bebidas_con_azucar
74212137,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
74274812,Entre 2 y 3 veces al dia,5 a 6 veces por semana,2 a 4 veces por semana,Entre 1 y 3 veces al mes,2 a 4 veces por semana
74332559,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,1 vez al dia,Entre 1 y 3 veces al mes,Entre 2 y 3 veces al dia
74434818,Nunca o menos de 1 vez al mes,1 vez al dia,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Entre 4 y 5 veces al dia
74494264,Entre 1 y 3 veces al mes,1 vez por semana,1 vez al dia,2 a 4 veces por semana,Entre 2 y 3 veces al dia
74567366,Entre 2 y 3 veces al dia,5 a 6 veces por semana,1 vez al dia,Nunca o menos de 1 vez al mes,Entre 4 y 5 veces al dia
74567871,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
74589443,Nunca o menos de 1 vez al mes,5 a 6 veces por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
74636313,1 vez al dia,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
74641935,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
74651370,2 a 4 veces por semana,5 a 6 veces por semana,2 a 4 veces por semana,2 a 4 veces por semana,5 a 6 veces por semana
74658997,Nunca o menos de 1 vez al mes,1 vez por semana,6 veces o mas por dia,Nunca o menos de 1 vez al mes,1 vez al dia
74694070,Nunca o menos de 1 vez al mes,1 vez por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes
74703429,Nunca o menos de 1 vez al mes,1 vez por semana,1 vez por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
74703430,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez por semana
74718079,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,1 vez por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
74722892,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
74723163,1 vez por semana,Entre 1 y 3 veces al mes,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,1 vez al dia
74736364,2 a 4 veces por semana,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,1 vez por semana
74770685,Entre 1 y 3 veces al mes,2 a 4 veces por semana,1 vez por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
74770686,2 a 4 veces por semana,5 a 6 veces por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
74808979,Nunca o menos de 1 vez al mes,1 vez al dia,1 vez al dia,2 a 4 veces por semana,1 vez por semana
74808980,Entre 1 y 3 veces al mes,1 vez por semana,Entre 1 y 3 veces al mes,2 a 4 veces por semana,Nunca o menos de 1 vez al mes
74826986,1 vez por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
74869468,Entre 1 y 3 veces al mes,5 a 6 veces por semana,1 vez por semana,1 vez por semana,2 a 4 veces por semana
74886563,Entre 1 y 3 veces al mes,1 vez por semana,1 vez por semana,2 a 4 veces por semana,2 a 4 veces por semana
74887893,2 a 4 veces por semana,1 vez al dia,1 vez al dia,Nunca o menos de 1 vez al mes,1 vez al dia
74895979,1 vez por semana,1 vez por semana,1 vez por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
74902195,1 vez por semana,Nunca o menos de 1 vez al mes,1 vez al dia,Entre 1 y 3 veces al mes,1 vez por semana
74917904,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,1 vez por semana
74918271,Nunca o menos de 1 vez al mes,1 vez por semana,1 vez por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
74921761,1 vez por semana,1 vez al dia,1 vez por semana,Nunca o menos de 1 vez al mes,1 vez al dia
74922220,Entre 1 y 3 veces al mes,1 vez por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
74922221,Nunca o menos de 1 vez al mes,1 vez al dia,6 veces o mas por dia,Nunca o menos de 1 vez al mes,1 vez por semana
74994800,1 vez por semana,1 vez al dia,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes
74996458,Nunca o menos de 1 vez al mes,1 vez por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
74996459,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,1 vez por semana,1 vez por semana,1 vez por semana
75001700,1 vez al dia,1 vez al dia,2 a 4 veces por semana,1 vez por semana,1 vez por semana
75031969,2 a 4 veces por semana,1 vez al dia,1 vez por semana,Nunca o menos de 1 vez al mes,1 vez al dia
75068866,Nunca o menos de 1 vez al mes,1 vez por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
75080242,Nunca o menos de 1 vez al mes,1 vez por semana,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
75083970,1 vez por semana,1 vez por semana,Entre 2 y 3 veces al dia,1 vez por semana,1 vez por semana
75093681,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 2 y 3 veces al dia,Entre 1 y 3 veces al mes,Entre 2 y 3 veces al dia
75118622,Entre 1 y 3 veces al mes,2 a 4 veces por semana,1 vez por semana,Nunca o menos de 1 vez al mes,1 vez por semana
75136208,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75144921,5 a 6 veces por semana,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
75182948,2 a 4 veces por semana,Entre 2 y 3 veces al dia,2 a 4 veces por semana,2 a 4 veces por semana,2 a 4 veces por semana
75191597,1 vez al dia,1 vez al dia,1 vez al dia,Nunca o menos de 1 vez al mes,1 vez al dia
75204079,Entre 2 y 3 veces al dia,Entre 4 y 5 veces al dia,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75206661,1 vez por semana,5 a 6 veces por semana,1 vez por semana,1 vez por semana,1 vez por semana
75230757,2 a 4 veces por semana,5 a 6 veces por semana,2 a 4 veces por semana,1 vez por semana,Entre 2 y 3 veces al dia
75241596,2 a 4 veces por semana,1 vez al dia,1 vez al dia,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
75252404,2 a 4 veces por semana,1 vez al dia,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez al dia
75255250,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,1 vez al dia,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
75270606,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,1 vez al dia,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes
75276646,Entre 1 y 3 veces al mes,1 vez al dia,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,5 a 6 veces por semana
75276681,5 a 6 veces por semana,Entre 2 y 3 veces al dia,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75276715,1 vez al dia,5 a 6 veces por semana,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,Entre 4 y 5 veces al dia
75282914,Nunca o menos de 1 vez al mes,1 vez al dia,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
75283239,1 vez por semana,1 vez al dia,Nunca o menos de 1 vez al mes,1 vez por semana,1 vez al dia
75284026,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,5 a 6 veces por semana
75288282,2 a 4 veces por semana,Entre 2 y 3 veces al dia,Entre 4 y 5 veces al dia,2 a 4 veces por semana,Entre 2 y 3 veces al dia
75288421,1 vez al dia,Entre 2 y 3 veces al dia,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Entre 4 y 5 veces al dia
75293730,1 vez por semana,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75301394,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
75312398,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes
75317719,5 a 6 veces por semana,5 a 6 veces por semana,Entre 2 y 3 veces al dia,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
75318916,Entre 1 y 3 veces al mes,1 vez por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
75324433,Nunca o menos de 1 vez al mes,1 vez al dia,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75340589,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez por semana
75347656,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,2 a 4 veces por semana,2 a 4 veces por semana
75371291,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
75379712,Nunca o menos de 1 vez al mes,5 a 6 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75384499,Nunca o menos de 1 vez al mes,1 vez al dia,Nunca o menos de 1 vez al mes,1 vez por semana,Nunca o menos de 1 vez al mes
75387581,Entre 1 y 3 veces al mes,2 a 4 veces por semana,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
75396668,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75402150,1 vez por semana,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,1 vez al dia
75427637,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia,Entre 2 y 3 veces al dia,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
75446430,Nunca o menos de 1 vez al mes,1 vez al dia,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
75446859,1 vez por semana,1 vez por semana,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75460491,1 vez por semana,2 a 4 veces por semana,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes
75461806,Nunca o menos de 1 vez al mes,1 vez al dia,1 vez por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes
75467279,1 vez por semana,2 a 4 veces por semana,1 vez al dia,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75468006,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,2 a 4 veces por semana,Entre 2 y 3 veces al dia
75468926,2 a 4 veces por semana,2 a 4 veces por semana,1 vez al dia,Entre 1 y 3 veces al mes,2 a 4 veces por semana
75468927,Entre 1 y 3 veces al mes,2 a 4 veces por semana,1 vez al dia,1 vez por semana,5 a 6 veces por semana
75477027,2 a 4 veces por semana,1 vez al dia,1 vez al dia,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
75480803,2 a 4 veces por semana,Entre 2 y 3 veces al dia,1 vez al dia,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75480913,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez al dia,Nunca o menos de 1 vez al mes,5 a 6 veces por semana
75484910,1 vez por semana,5 a 6 veces por semana,2 a 4 veces por semana,Entre 1 y 3 veces al mes,1 vez al dia
75485410,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,2 a 4 veces por semana,Entre 2 y 3 veces al dia
75485414,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,6 veces o mas por dia
75509799,Entre 1 y 3 veces al mes,2 a 4 veces por semana,1 vez por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75513430,1 vez por semana,1 vez por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,Entre 2 y 3 veces al dia
75513924,2 a 4 veces por semana,Entre 2 y 3 veces al dia,Nunca o menos de 1 vez al mes,1 vez por semana,Entre 2 y 3 veces al dia
75532580,1 vez por semana,2 a 4 veces por semana,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75536909,1 vez por semana,2 a 4 veces por semana,5 a 6 veces por semana,2 a 4 veces por semana,1 vez por semana
75538840,1 vez por semana,2 a 4 veces por semana,1 vez por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75541374,2 a 4 veces por semana,1 vez al dia,1 vez al dia,Nunca o menos de 1 vez al mes,1 vez al dia
75551423,Entre 1 y 3 veces al mes,1 vez al dia,1 vez por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75551521,Nunca o menos de 1 vez al mes,1 vez al dia,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,5 a 6 veces por semana
75554344,2 a 4 veces por semana,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75555189,Entre 1 y 3 veces al mes,1 vez por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
75555938,1 vez al dia,1 vez al dia,1 vez al dia,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
75555942,Nunca o menos de 1 vez al mes,1 vez al dia,1 vez al dia,Nunca o menos de 1 vez al mes,1 vez al dia
75557415,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,1 vez al dia
75559313,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,1 vez al dia
75559315,1 vez al dia,1 vez al dia,Nunca o menos de 1 vez al mes,5 a 6 veces por semana,1 vez por semana
75562129,2 a 4 veces por semana,1 vez por semana,2 a 4 veces por semana,2 a 4 veces por semana,Entre 2 y 3 veces al dia
75566258,1 vez por semana,5 a 6 veces por semana,1 vez por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
75569153,Nunca o menos de 1 vez al mes,1 vez al dia,Entre 1 y 3 veces al mes,1 vez por semana,Entre 2 y 3 veces al dia
75569155,Entre 1 y 3 veces al mes,1 vez al dia,1 vez al dia,Nunca o menos de 1 vez al mes,5 a 6 veces por semana
75572850,Entre 1 y 3 veces al mes,1 vez por semana,1 vez al dia,2 a 4 veces por semana,1 vez al dia
75572852,Entre 1 y 3 veces al mes,1 vez al dia,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,1 vez al dia
75587052,1 vez por semana,1 vez por semana,1 vez al dia,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75587054,2 a 4 veces por semana,2 a 4 veces por semana,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,1 vez al dia
75600492,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75600496,Entre 2 y 3 veces al dia,1 vez al dia,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75602598,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,2 a 4 veces por semana,1 vez por semana,Entre 2 y 3 veces al dia
75618460,1 vez por semana,1 vez al dia,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Entre 2 y 3 veces al dia
75625505,2 a 4 veces por semana,5 a 6 veces por semana,5 a 6 veces por semana,2 a 4 veces por semana,2 a 4 veces por semana
75628404,Nunca o menos de 1 vez al mes,1 vez al dia,1 vez por semana,2 a 4 veces por semana,1 vez al dia
75631765,Nunca o menos de 1 vez al mes,1 vez por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
75634524,2 a 4 veces por semana,1 vez por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,1 vez por semana
75644225,2 a 4 veces por semana,1 vez por semana,1 vez por semana,2 a 4 veces por semana,Entre 2 y 3 veces al dia
75646401,Nunca o menos de 1 vez al mes,1 vez al dia,2 a 4 veces por semana,Entre 1 y 3 veces al mes,1 vez por semana
75648381,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,1 vez por semana,Entre 1 y 3 veces al mes
75658167,Nunca o menos de 1 vez al mes,1 vez al dia,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,2 a 4 veces por semana
75658168,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,2 a 4 veces por semana,Entre 1 y 3 veces al mes,2 a 4 veces por semana
75666206,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,1 vez por semana,Nunca o menos de 1 vez al mes
75681732,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Entre 4 y 5 veces al dia
75692207,Entre 1 y 3 veces al mes,2 a 4 veces por semana,1 vez por semana,1 vez por semana,1 vez por semana
75694005,1 vez por semana,2 a 4 veces por semana,Entre 2 y 3 veces al dia,1 vez por semana,2 a 4 veces por semana
75695612,2 a 4 veces por semana,1 vez por semana,1 vez por semana,Nunca o menos de 1 vez al mes,5 a 6 veces por semana
75703613,2 a 4 veces por semana,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
75704080,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez al dia
75705100,1 vez por semana,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,1 vez al dia
75705366,1 vez por semana,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,1 vez al dia
75708395,Entre 1 y 3 veces al mes,1 vez por semana,1 vez por semana,Entre 1 y 3 veces al mes,1 vez por semana
75712346,1 vez por semana,2 a 4 veces por semana,2 a 4 veces por semana,Entre 1 y 3 veces al mes,1 vez por semana
75718323,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes
75719722,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
75720100,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,1 vez por semana,Entre 1 y 3 veces al mes
75727024,Entre 1 y 3 veces al mes,1 vez al dia,1 vez por semana,1 vez por semana,Entre 2 y 3 veces al dia
75736953,1 vez por semana,1 vez por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,1 vez por semana
75740766,2 a 4 veces por semana,2 a 4 veces por semana,5 a 6 veces por semana,2 a 4 veces por semana,2 a 4 veces por semana
75740768,2 a 4 veces por semana,2 a 4 veces por semana,1 vez al dia,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75750861,Entre 1 y 3 veces al mes,5 a 6 veces por semana,1 vez por semana,2 a 4 veces por semana,2 a 4 veces por semana
75762348,2 a 4 veces por semana,1 vez al dia,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
75763978,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,1 vez al dia,Entre 1 y 3 veces al mes,1 vez por semana
75778895,Entre 1 y 3 veces al mes,2 a 4 veces por semana,Entre 2 y 3 veces al dia,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75817520,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,1 vez al dia,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
75818968,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez al dia
75830541,1 vez al dia,1 vez al dia,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
75857102,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez por semana,2 a 4 veces por semana,2 a 4 veces por semana
75865036,1 vez por semana,1 vez al dia,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,1 vez al dia
75901621,1 vez por semana,2 a 4 veces por semana,1 vez por semana,1 vez por semana,1 vez al dia
75908553,2 a 4 veces por semana,2 a 4 veces por semana,1 vez al dia,Nunca o menos de 1 vez al mes,5 a 6 veces por semana
75920279,Entre 2 y 3 veces al dia,1 vez al dia,1 vez al dia,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
75921841,2 a 4 veces por semana,2 a 4 veces por semana,1 vez por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75927789,5 a 6 veces por semana,1 vez al dia,2 a 4 veces por semana,Entre 1 y 3 veces al mes,1 vez al dia
75930966,1 vez por semana,1 vez al dia,1 vez por semana,Entre 1 y 3 veces al mes,1 vez al dia
75931179,1 vez por semana,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 2 y 3 veces al dia
75932882,1 vez por semana,Nunca o menos de 1 vez al mes,1 vez al dia,Nunca o menos de 1 vez al mes,1 vez por semana
75935086,1 vez por semana,Entre 2 y 3 veces al dia,1 vez al dia,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
75935087,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes
75940411,Entre 1 y 3 veces al mes,5 a 6 veces por semana,1 vez al dia,Nunca o menos de 1 vez al mes,1 vez al dia
75944335,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez por semana
75944716,Entre 1 y 3 veces al mes,1 vez por semana,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes
75945531,1 vez por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
75948780,Nunca o menos de 1 vez al mes,1 vez por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez por semana
75964520,Nunca o menos de 1 vez al mes,5 a 6 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,1 vez por semana
75971343,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,1 vez por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
75981659,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,1 vez por semana,1 vez por semana,Entre 2 y 3 veces al dia
75987401,Nunca o menos de 1 vez al mes,1 vez por semana,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,1 vez al dia
75992027,2 a 4 veces por semana,2 a 4 veces por semana,1 vez por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes
75999822,1 vez por semana,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,1 vez por semana
76000196,1 vez por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
76000892,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,1 vez por semana
76002102,1 vez por semana,2 a 4 veces por semana,5 a 6 veces por semana,1 vez por semana,2 a 4 veces por semana
76008699,2 a 4 veces por semana,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
76008901,Nunca o menos de 1 vez al mes,1 vez por semana,Entre 2 y 3 veces al dia,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
76008902,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez al dia,Nunca o menos de 1 vez al mes,1 vez al dia
76017387,1 vez al dia,Entre 1 y 3 veces al mes,1 vez por semana,Nunca o menos de 1 vez al mes,1 vez al dia
76022056,1 vez por semana,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,2 a 4 veces por semana
76023783,Nunca o menos de 1 vez al mes,1 vez por semana,1 vez por semana,Nunca o menos de 1 vez al mes,1 vez por semana
76027557,1 vez por semana,2 a 4 veces por semana,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes
76027559,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Entre 4 y 5 veces al dia
76029792,Entre 1 y 3 veces al mes,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
76033136,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,1 vez por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
76056824,Nunca o menos de 1 vez al mes,1 vez por semana,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Entre 2 y 3 veces al dia
76063883,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,1 vez al dia
76067939,1 vez por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,5 a 6 veces por semana
76071121,2 a 4 veces por semana,2 a 4 veces por semana,1 vez al dia,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
76071122,2 a 4 veces por semana,1 vez al dia,1 vez al dia,Nunca o menos de 1 vez al mes,1 vez al dia
76072046,1 vez por semana,1 vez por semana,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 2 y 3 veces al dia
76086226,Entre 1 y 3 veces al mes,1 vez por semana,1 vez por semana,2 a 4 veces por semana,1 vez al dia
76089076,Entre 1 y 3 veces al mes,5 a 6 veces por semana,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Entre 2 y 3 veces al dia
76090275,Nunca o menos de 1 vez al mes,5 a 6 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
76090985,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez al dia,Nunca o menos de 1 vez al mes,1 vez al dia
76093436,1 vez por semana,5 a 6 veces por semana,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
76096486,1 vez por semana,1 vez al dia,1 vez al dia,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
